sort,Name,Sex,Color,Birth Year,Birth Month/Day,Birth Pack,Mother,Father,Birth Location,Current/Death Pack,Previous Packs,Death Year,Last seen,Death/Last Month/Day,Death Cause,Death/Last Location,Alt name,Translocated,on 2023 Wolf Chart?,Official Tree?,Book?,notes
1387,1387,M,b,2022*,?,Lupine Creek*,?,?,?,Lupine Creek*,-,Living,Living,Living,Living,Living,,,x,No,No,only on 2023 Wolf Chart
1388,1388,F,g,2022*,?,Lupine Creek*,?,?,?,Lupine Creek*,-,Living,Living,Living,Living,Living,,,x,No,No,only on 2023 Wolf Chart
1389,1389,F,g,2021*,?,8-Mile*,?,?,?,8-Mile*,-,Living,Living,Living,Living,Living,,,x,No,No,only on 2023 Wolf Chart
1392,1392,M,b,2022*,?,Rescue Creek*,?,?,?,Rescue Creek*,-,Living,Living,Living,Living,Living,,,x,No,No,only on 2023 Wolf Chart
1393,1393,M,b,2021*,?,Junction Butte*,?,?,?,Rescue Creek*,-,Living,Living,Living,Living,Living,,,x,No,No,only on 2023 Wolf Chart
1407,1407,M,b,2021*,?,Beartooth?*,?,?,?,Willow Creek*,-,Living,Living,Living,Living,Living,,,x,No,No,only on 2023 Wolf Chart
1408,1408,F,g,2022*,?,Willow Creek*,?,?,?,Willow Creek*,-,Living,Living,Living,Living,Living,,,x,No,No,only on 2023 Wolf Chart
1409,1409,M,b,2021*,?,8-Mile*,?,?,?,Wapiti Lake*,-,Living,Living,Living,Living,Living,,,x,No,No,only on 2023 Wolf Chart
1410,1410,F,b,2021*,?,Mollie's*,?,?,?,Mollie's*,-,Living,Living,Living,Living,Living,,,x,No,No,only on 2023 Wolf Chart
1412,1412,F,b,2022*,?,Cougar Creek*,?,?,?,Cougar Creek*,-,Living,Living,Living,Living,Living,,,x,No,No,only on 2023 Wolf Chart
1413,1413,M,b,2022*,?,Cougar Creek*,?,?,?,Cougar Creek*,-,Living,Living,Living,Living,Living,,,x,No,No,only on 2023 Wolf Chart
1414,1414,F,b,2022*,?,Cougar Creek*,?,?,?,Cougar Creek*,-,Living,Living,Living,Living,Living,,,x,No,No,only on 2023 Wolf Chart
1415,1415,M,b,2022*,?,Cougar Creek*,?,?,?,Cougar Creek*,-,Living,Living,Living,Living,Living,,,x,No,No,only on 2023 Wolf Chart
1416,BSA,F,b,2000?,?,?,?,?,Location Unknown,Bechler,-,N/A,2008,unknown,N/A,"Bechler Area, Southwestern YNP",Black & Silver Alpha Female,,,Yes,No,
1417,Y250,M,g,1998?,?,?,?,?,Location Unknown,Taylor Peak,-,N/A,2002,unknown,N/A,Unknown,,,,No,Yes,
1418,HB,M,b,2001,April,Druid Peak,42F,21M,"Lamar Valley, YNP",Druid Peak,-,N/A,2003,unknown,N/A,Unknown,Half- Black,,,Yes,Yes,
1419,BF SC,F,b,2001?,?,Druid Peak?,?,?,Location Unknown,Slough Creek,-,N/A,2005,unknown,N/A,Unknown,Black Female Slough Creek,,,Yes,Yes,
1420,BM,M,b,2004?,?,?,?,?,Location Unknown,None,-,N/A,2006,unknown,N/A,unknown,Black Male,,,Yes,No,
1421,CaAF,F,g,2005,April,Hayden Valley,540F,541M,"Hayden Valley Area, YNP",Canyon ,-,2017,N/A,April 11,Illegally Shot ,"North Entrance Area, YNP",Canyon Alpha Female,,,Yes,Yes,
1422,SAM,M,g,2005?,?,?,?,?,Location Unknown,None,Silver,N/A,2010,unknown,N/A,Unknown,Silver Alpha Male,,,Yes,Yes,
